Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
18	wheeler112	1558637515.201	 12325.628	0	0	0	0	./wrapper.sh \[-11.5,18\] > conn.log
10	wheeler144	1558637515.138	 12327.766	0	0	0	0	./wrapper.sh \[-15.5,10\] > conn.log
7	wheeler127	1558637515.113	 12338.870	0	0	0	0	./wrapper.sh \[-17.0,7\] > conn.log
2	wheeler130	1558637515.071	 12359.679	0	0	0	0	./wrapper.sh \[-19.5,2\] > conn.log
17	wheeler137	1558637515.194	 12366.052	0	0	0	0	./wrapper.sh \[-12.0,17\] > conn.log
19	wheeler135	1558637515.209	 12382.970	0	0	0	0	./wrapper.sh \[-11.0,19\] > conn.log
9	wheeler114	1558637515.129	 12396.437	0	0	0	0	./wrapper.sh \[-16.0,9\] > conn.log
13	wheeler115	1558637515.162	 12399.434	0	0	0	0	./wrapper.sh \[-14.0,13\] > conn.log
3	wheeler110	1558637515.080	 12401.745	0	0	0	0	./wrapper.sh \[-19.0,3\] > conn.log
15	wheeler142	1558637515.178	 12423.546	0	0	0	0	./wrapper.sh \[-13.0,15\] > conn.log
4	wheeler141	1558637515.088	 12425.924	0	0	0	0	./wrapper.sh \[-18.5,4\] > conn.log
21	wheeler139	1558637515.227	 12442.364	0	0	0	0	./wrapper.sh \[-10.0,21\] > conn.log
14	wheeler099	1558637515.170	 12444.896	0	0	0	0	./wrapper.sh \[-13.5,14\] > conn.log
1	wheeler117	1558637515.061	 12447.418	0	0	0	0	./wrapper.sh \[-20.0,1\] > conn.log
11	wheeler132	1558637515.145	 12452.246	0	0	0	0	./wrapper.sh \[-15.0,11\] > conn.log
16	wheeler134	1558637515.186	 12465.273	0	0	0	0	./wrapper.sh \[-12.5,16\] > conn.log
12	wheeler128	1558637515.155	 12480.255	0	0	0	0	./wrapper.sh \[-14.5,12\] > conn.log
8	wheeler129	1558637515.121	 12496.236	0	0	0	0	./wrapper.sh \[-16.5,8\] > conn.log
5	wheeler125	1558637515.097	 12521.087	0	0	0	0	./wrapper.sh \[-18.0,5\] > conn.log
6	wheeler146	1558637515.105	 12537.496	0	0	0	0	./wrapper.sh \[-17.5,6\] > conn.log
20	wheeler108	1558637515.217	 12587.427	0	0	0	0	./wrapper.sh \[-10.5,20\] > conn.log
