Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	wheeler167	1557522181.986	  6178.471	0	0	0	0	./wrapper.sh \[4,1\] > conn.log
2	wheeler175	1557522181.996	  6257.638	0	0	0	0	./wrapper.sh \[5,2\] > conn.log
5	wheeler169	1557522182.024	  6265.764	0	0	0	0	./wrapper.sh \[8,5\] > conn.log
11	wheeler168	1557522182.074	  6300.663	0	0	0	0	./wrapper.sh \[14,11\] > conn.log
6	wheeler166	1557522182.033	  6319.908	0	0	0	0	./wrapper.sh \[9,6\] > conn.log
12	wheeler170	1557522182.082	  6351.414	0	0	0	0	./wrapper.sh \[15,12\] > conn.log
3	wheeler171	1557522182.006	  6358.641	0	0	0	0	./wrapper.sh \[6,3\] > conn.log
10	wheeler188	1557522182.066	  6369.766	0	0	0	0	./wrapper.sh \[13,10\] > conn.log
4	wheeler173	1557522182.015	  6378.948	0	0	0	0	./wrapper.sh \[7,4\] > conn.log
7	wheeler165	1557522182.041	  6387.240	0	0	0	0	./wrapper.sh \[10,7\] > conn.log
9	wheeler176	1557522182.057	  6400.108	0	0	0	0	./wrapper.sh \[12,9\] > conn.log
8	wheeler174	1557522182.049	  6455.953	0	0	0	0	./wrapper.sh \[11,8\] > conn.log
13	wheeler167	1557522182.090	  6581.282	0	0	0	0	./wrapper.sh \[16,13\] > conn.log
16	wheeler173	1557522182.116	  6648.153	0	0	0	0	./wrapper.sh \[19,16\] > conn.log
18	wheeler166	1557522182.132	  6661.873	0	0	0	0	./wrapper.sh \[21,18\] > conn.log
21	wheeler176	1557522182.156	  6669.973	0	0	0	0	./wrapper.sh \[24,21\] > conn.log
15	wheeler171	1557522182.107	  6681.131	0	0	0	0	./wrapper.sh \[18,15\] > conn.log
19	wheeler165	1557522182.139	  6683.230	0	0	0	0	./wrapper.sh \[22,19\] > conn.log
22	wheeler188	1557522182.165	  6687.907	0	0	0	0	./wrapper.sh \[25,22\] > conn.log
20	wheeler174	1557522182.148	  6698.954	0	0	0	0	./wrapper.sh \[23,20\] > conn.log
14	wheeler175	1557522182.099	  6711.906	0	0	0	0	./wrapper.sh \[17,14\] > conn.log
17	wheeler169	1557522182.124	  6762.919	0	0	0	0	./wrapper.sh \[20,17\] > conn.log
